## Times for 2t with 4 workers and 128GB memory
## Catalog: data-access, Model: IFS-FESOM, Experiment: story-2017-historical-HPC, Source: hourly-hpz9-atm2d, Regrid: r100
## Average compute time: 93.53 seconds
## Average total time: 188.15 seconds
## Individual compute times:
## Attempt; Total Time (s); Retrieve Time (s); Compute Time (s); I/O Time (s)
1; 182.32; 2.57; 89.67; 90.08
2; 183.20; 2.66; 90.22; 90.32
3; 182.96; 2.52; 90.44; 90.00
4; 182.45; 2.56; 90.95; 88.94
5; 182.04; 2.58; 89.76; 89.69
6; 183.71; 2.52; 90.19; 91.00
7; 180.96; 2.52; 88.98; 89.46
8; 181.32; 2.52; 89.29; 89.51
9; 200.32; 2.55; 95.29; 102.48
10; 222.25; 5.81; 120.49; 95.95
